"individual" "replicate" "well" "batch" "sample_id"
"514" "NA19239" "r3" "C06" "NA19239.r3" "NA19239.r3.C06"
"515" "NA19239" "r3" "C08" "NA19239.r3" "NA19239.r3.C08"
"516" "NA19239" "r3" "C09" "NA19239.r3" "NA19239.r3.C09"
"517" "NA19239" "r3" "C10" "NA19239.r3" "NA19239.r3.C10"
"518" "NA19239" "r3" "C11" "NA19239.r3" "NA19239.r3.C11"
"519" "NA19239" "r3" "C12" "NA19239.r3" "NA19239.r3.C12"
"520" "NA19239" "r3" "D01" "NA19239.r3" "NA19239.r3.D01"
"521" "NA19239" "r3" "D02" "NA19239.r3" "NA19239.r3.D02"
"522" "NA19239" "r3" "D03" "NA19239.r3" "NA19239.r3.D03"
"523" "NA19239" "r3" "D04" "NA19239.r3" "NA19239.r3.D04"
"524" "NA19239" "r3" "D05" "NA19239.r3" "NA19239.r3.D05"
"525" "NA19239" "r3" "D06" "NA19239.r3" "NA19239.r3.D06"
"526" "NA19239" "r3" "D07" "NA19239.r3" "NA19239.r3.D07"
"527" "NA19239" "r3" "D08" "NA19239.r3" "NA19239.r3.D08"
"528" "NA19239" "r3" "D09" "NA19239.r3" "NA19239.r3.D09"
"529" "NA19239" "r3" "D10" "NA19239.r3" "NA19239.r3.D10"
"530" "NA19239" "r3" "D12" "NA19239.r3" "NA19239.r3.D12"
"531" "NA19239" "r3" "E02" "NA19239.r3" "NA19239.r3.E02"
"532" "NA19239" "r3" "E05" "NA19239.r3" "NA19239.r3.E05"
"533" "NA19239" "r3" "E06" "NA19239.r3" "NA19239.r3.E06"
"534" "NA19239" "r3" "E07" "NA19239.r3" "NA19239.r3.E07"
"535" "NA19239" "r3" "E08" "NA19239.r3" "NA19239.r3.E08"
"536" "NA19239" "r3" "E09" "NA19239.r3" "NA19239.r3.E09"
"537" "NA19239" "r3" "E10" "NA19239.r3" "NA19239.r3.E10"
"538" "NA19239" "r3" "E11" "NA19239.r3" "NA19239.r3.E11"
"539" "NA19239" "r3" "F01" "NA19239.r3" "NA19239.r3.F01"
"540" "NA19239" "r3" "F02" "NA19239.r3" "NA19239.r3.F02"
